Item,Amount,Bought?,Cost (CAD),Total Cost,Notes,Link
Adafruit Feather NRF52840,2,n,37.79,75.58,,https://www.aliexpress.com/item/1005009226053516.html?src=bing&aff_short_key=UneMJZVf&aff_platform=true&isdl=y&albch=shopping&acnt=135105396&albcp=555403205&albag=1301822986926870&slnk=&trgt=pla-2333163674559409&plac=&crea=81363996201255&netw=o&device=c&mtctp=e&utm_source=Bing&utm_medium=shopping&utm_campaign=PA_Bing_CA_PMAX_ALL_maxvalue_20250428_newstore_purchase&utm_content=%E9%87%8D%E5%A4%A7%E4%BB%B6&utm_term=Adafruit%20Feather%20nRF52840%20Express
Switches (need 76),1,n,26.99,26.99,,https://www.amazon.ca/Kailh-Mechanical-Keyboard-Switches-Bronze/dp/B078872V4C?crid=S6GHUE6GESGF&dib=eyJ2IjoiMSJ9.ONZMBRNy0KAMuvL_Zdsr4I8-ygzR1lPmTO_ubvOom-eiItnMlfxU2MjNZ4bAyT28Wj8D5x7d_99qXksv0dJKMPxzSB6hMnxZmbaE5yGeWa0KevUnSzfhwmK2dWRKFxpJ5DhZowE_Xgm2Q_iDd3c0hTUIfD5Vv788PQXdaycnfTuCYHDxL1CptqKSjqfSuIZW-lqS23xxfMY8d38QEkRACM8l6DuY6semJDr_8keASXzb9B3z1yIc8QK7wvRFa5D-kaIkDNc0w5bbTS6ugCr1RxpLDL02XDOqpThTVRO1TjM.9mySLcTkHqnqbSifKLE6JvGreVLOxPRc_BeBembcnLU&dib_tag=se&keywords=kailh+bronze&qid=1753490924&sprefix=kailh+bronz%2Caps%2C141&sr=8-1
Kalih Sockets,1,n,13.57,13.57,,https://www.aliexpress.com/item/1005007476614771.html?spm=a2g0o.productlist.main.2.5cbeEl0rEl0rZs&algo_pvid=417a3064-48cb-4e65-902a-c7271a04ed3e&algo_exp_id=417a3064-48cb-4e65-902a-c7271a04ed3e-1&pdp_ext_f=%7B%22order%22%3A%221906%22%2C%22eval%22%3A%221%22%2C%22orig_sl_item_id%22%3A%221005007476614771%22%2C%22orig_item_id%22%3A%221005007052649640%22%7D&pdp_npi=4%40dis%21CAD%2119.24%219.27%21%21%2198.64%2147.53%21%40210330dd17534910127247534eb326%2112000040910888023%21sea%21CA%216060346685%21X&curPageLogUid=2brZDfysHc1M&utparam-url=scene%3Asearch%7Cquery_from%3A
Diodes,1,n,11.36,11.36,possibly cheaper if bought with other stuff,https://www.aliexpress.com/item/4000142272546.html?spm=a2g0o.productlist.main.1.71daT1OtT1OtuU&algo_pvid=1f0ce82d-b5a0-4bab-83b8-35e054a581ae&algo_exp_id=1f0ce82d-b5a0-4bab-83b8-35e054a581ae-0&pdp_ext_f=%7B%22order%22%3A%221517%22%2C%22eval%22%3A%221%22%7D&pdp_npi=4%40dis%21CAD%212.84%212.84%21%21%2114.58%2114.58%21%402101c59117534910769113679e8105%2110000000428321629%21sea%21CA%216060346685%21X&curPageLogUid=jMly8oKonQ9r&utparam-url=scene%3Asearch%7Cquery_from%3A
sk6812mini-e,1,n,8.04,8.04,,https://www.aliexpress.com/item/1005009217389452.html?spm=a2g0o.productlist.main.5.669a1d096zOrcq&algo_pvid=72aa5d01-37af-404f-8230-437364c9f893&algo_exp_id=72aa5d01-37af-404f-8230-437364c9f893-4&pdp_ext_f=%7B%22order%22%3A%221%22%2C%22eval%22%3A%221%22%7D&pdp_npi=4%40dis%21CAD%218.04%215.79%21%21%215.76%214.15%21%402103246617534912192953705e5af6%2112000048349292178%21sea%21CA%216060346685%21X&curPageLogUid=OIAyhOvlAdBz&utparam-url=scene%3Asearch%7Cquery_from%3A
Keycaps,1,n,29.99,29.99,,https://www.amazon.ca/124-Key-Keycaps-Percent-Keyboard-Dye-Sub/dp/B09NRK5B3L?crid=3P3RX3XBW4XSZ&dib=eyJ2IjoiMSJ9.cVu-uuzpaSrDS13gwW2LS24vXxgjn3safMwR-iQ5f-U8wRo8U_MP3Ywn57Uu80UZHBdPBikxb3MoPdZ_QUGk7Q.HNnUPynLoeDzUcAz7KZV6I0XIwPok9cKfU3TthbW6cw&dib_tag=se&keywords=keycaps&qid=1753491451&sprefix=keycap%2Caps%2C319&sr=8-54&xpid=mhd-51rYrrEGe&th=1
PCB Manufacturing,2,n,19.89,39.78,20 dollar highway coupon (not applied),
Stabilizers,1,n,7.29,7.29,,https://www.aliexpress.com/item/1005009141481219.html?spm=a2g0o.productlist.main.6.238eHzCkHzCkvG&algo_pvid=d2e3bbcd-8f25-43a8-a7a8-10debbcd0508&algo_exp_id=d2e3bbcd-8f25-43a8-a7a8-10debbcd0508-5&pdp_ext_f=%7B%22order%22%3A%222%22%2C%22eval%22%3A%221%22%7D&pdp_npi=4%40dis%21CAD%217.29%217.29%21%21%215.22%215.22%21%402101c67a17534916242261621ef534%2112000048063866823%21sea%21CA%216060346685%21X&curPageLogUid=X4NE0bNGfjvY&utparam-url=scene%3Asearch%7Cquery_from%3A
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,CAD,USD,,
,,Total Cost,212.60,155.198,,
,,,,Note: 150 USD = 204.58 CAD,,
